Favorite-BatAge,Favorite-R/G,Favorite-PA,Favorite-AB,Favorite-H,Favorite-2B,Favorite-3B,Favorite-HR,Favorite-BB,Favorite-SO,Favorite-BA,Favorite-OBP,Favorite-SLG,Favorite-OPS,Favorite-TB,Favorite-HBP,Favorite-LOB,Result,Distance,BatAge,R/G,PA,AB,H,2B,3B,HR,BB,SO,BA,OBP,SLG,OPS,TB,HBP,LOB,ERA_Starting,ERA_Opposing,CG_Starting,CG_Opposing,IP_Starting,IP_Opposing,ERA+_Starting ,ERA+_Opposing,FIP_Starting,FIP_Opposing,WHIP_Starting,WHIP_Opposing,H9_Starting ,H9_Opposing,HR9_Starting,HR9_Opposing,BB9_Starting,BB9_Opposing,SO9_Starting ,SO9_Opposing,SO/W_Starting,SO/W_Opposing
28.2,4.92,6146.0,5453.0,1390.0,278.0,18.0,205.0,565.0,1197.0,0.255,0.32899999999999996,0.425,0.754,2319.0,61.0,1052.0,0,2624.74,28.0,5.02,6255,5579,1407,322,20,227,550,1381,0.252,0.325,0.439,0.764,2450,76,1085,2.58,4.39,2.0,0.0,223.0,110.06666666666666,179.0,102.33333333333333,3.27,4.826666666666667,0.8029999999999999,1.3883333333333334,5.5,9.833333333333334,1.5,1.6333333333333335,1.7,2.6666666666666665,12.1,8.533333333333333,7.14,8.533333333333333
28.2,4.92,6146.0,5453.0,1390.0,278.0,18.0,205.0,565.0,1197.0,0.255,0.32899999999999996,0.425,0.754,2319.0,61.0,1052.0,0,2624.74,28.0,5.02,6255,5579,1407,322,20,227,550,1381,0.252,0.325,0.439,0.764,2450,76,1085,4.0,3.81,0.0,0.0,18.0,144.0,118.0,112.0,2.77,4.4,1.222,1.194,8.5,7.8,0.5,1.3,2.5,2.9,9.0,8.8,3.6,8.8
28.2,4.92,6146.0,5453.0,1390.0,278.0,18.0,205.0,565.0,1197.0,0.255,0.32899999999999996,0.425,0.754,2319.0,61.0,1052.0,1,2624.74,28.0,5.02,6255,5579,1407,322,20,227,550,1381,0.252,0.325,0.439,0.764,2450,76,1085,2.9499999999999997,3.89,0.0,0.0,138.79999999999998,176.0,154.66666666666666,110.0,3.23,4.57,0.9986666666666667,1.307,7.666666666666667,9.3,0.9,1.0,1.3,2.5,7.966666666666666,4.6,6.146666666666667,4.6
28.2,4.92,6146.0,5453.0,1390.0,278.0,18.0,205.0,565.0,1197.0,0.255,0.32899999999999996,0.425,0.754,2319.0,61.0,1052.0,0,-2624.74,28.0,5.02,6255,5579,1407,322,20,227,550,1381,0.252,0.325,0.439,0.764,2450,76,1085,3.98,4.39,0.0,0.0,167.1,110.06666666666666,116.0,102.33333333333333,4.51,4.826666666666667,1.345,1.3883333333333334,8.8,9.833333333333334,1.2,1.6333333333333335,3.3,2.6666666666666665,7.5,8.533333333333333,2.3,8.533333333333333
28.2,4.92,6146.0,5453.0,1390.0,278.0,18.0,205.0,565.0,1197.0,0.255,0.32899999999999996,0.425,0.754,2319.0,61.0,1052.0,0,-2624.74,28.0,5.02,6255,5579,1407,322,20,227,550,1381,0.252,0.325,0.439,0.764,2450,76,1085,3.95,3.89,0.0,0.0,41.0,176.0,118.0,110.0,3.68,4.57,1.0979999999999999,1.307,8.3,9.3,1.3,1.0,1.5,2.5,8.8,4.6,5.71,4.6
28.2,4.92,6146.0,5453.0,1390.0,278.0,18.0,205.0,565.0,1197.0,0.255,0.32899999999999996,0.425,0.754,2319.0,61.0,1052.0,0,-2624.74,28.0,5.02,6255,5579,1407,322,20,227,550,1381,0.252,0.325,0.439,0.764,2450,76,1085,2.58,4.5566666666666675,2.0,0.0,223.0,108.73333333333333,179.0,99.0,3.27,4.08,0.8029999999999999,1.309,5.5,8.933333333333334,1.5,1.1666666666666667,1.7,2.8333333333333335,12.1,8.2,7.14,8.2
28.2,4.92,6146.0,5453.0,1390.0,278.0,18.0,205.0,565.0,1197.0,0.255,0.32899999999999996,0.425,0.754,2319.0,61.0,1052.0,1,-1831.66,27.8,4.3,6066,5447,1381,290,38,157,474,1229,0.254,0.317,0.40700000000000003,0.725,2218,59,1071,2.5,5.38,0.0,0.0,212.1,145.2,185.0,80.0,2.64,5.12,0.895,1.4140000000000001,6.0,10.0,1.2,1.7,2.0,2.7,13.8,7.0,6.79,7.0
28.2,4.92,6146.0,5453.0,1390.0,278.0,18.0,205.0,565.0,1197.0,0.255,0.32899999999999996,0.425,0.754,2319.0,61.0,1052.0,0,-1831.66,27.8,4.3,6066,5447,1381,290,38,157,474,1229,0.254,0.317,0.40700000000000003,0.725,2218,59,1071,5.86,4.91,0.0,0.0,70.2,73.1,79.0,88.0,4.98,5.9,1.67,1.364,9.4,10.1,1.1,1.8,5.6,2.2,8.7,5.0,1.55,5.0
28.2,4.92,6146.0,5453.0,1390.0,278.0,18.0,205.0,565.0,1197.0,0.255,0.32899999999999996,0.425,0.754,2319.0,61.0,1052.0,0,-1831.66,27.8,4.3,6066,5447,1381,290,38,157,474,1229,0.254,0.317,0.40700000000000003,0.725,2218,59,1071,4.12,4.44,0.0,0.0,91.2,170.1,112.0,97.0,4.42,3.82,1.189,1.215,7.7,8.9,1.5,1.1,3.0,2.1,9.4,8.3,3.1,8.3
28.2,4.92,6146.0,5453.0,1390.0,278.0,18.0,205.0,565.0,1197.0,0.255,0.32899999999999996,0.425,0.754,2319.0,61.0,1052.0,1,3039.78,29.8,4.18,6087,5513,1402,256,32,176,430,1221,0.254,0.314,0.408,0.722,2250,70,1084,3.98,5.71,0.0,0.0,167.1,121.1,116.0,76.0,4.51,5.49,1.345,1.4509999999999998,8.8,10.8,1.2,2.1,3.3,2.3,7.5,6.8,2.3,6.8
28.2,4.92,6146.0,5453.0,1390.0,278.0,18.0,205.0,565.0,1197.0,0.255,0.32899999999999996,0.425,0.754,2319.0,61.0,1052.0,1,3039.78,29.8,4.18,6087,5513,1402,256,32,176,430,1221,0.254,0.314,0.408,0.722,2250,70,1084,2.58,6.4,2.0,0.0,223.0,71.2,179.0,68.0,3.27,6.0,0.8029999999999999,1.535,5.5,10.7,1.5,2.1,1.7,3.1,12.1,7.2,7.14,7.2
