,Favorite-BatAge,Favorite-R/G,Favorite-PA,Favorite-AB,Favorite-H,Favorite-2B,Favorite-3B,Favorite-HR,Favorite-BB,Favorite-SO,Favorite-BA,Favorite-OBP,Favorite-SLG,Favorite-OPS,Favorite-TB,Favorite-HBP,Favorite-LOB,Result,Distance,BatAge,R/G,PA,AB,H,2B,3B,HR,BB,SO,BA,OBP,SLG,OPS,TB,HBP,LOB,ERA_Starting,ERA_Opposing,CG_Starting,CG_Opposing,IP_Starting,IP_Opposing,ERA+_Starting ,ERA+_Opposing,FIP_Starting,FIP_Opposing
37,28.2,4.92,6146.0,5453.0,1390.0,278.0,18.0,205.0,565.0,1197.0,0.255,0.32899999999999996,0.425,0.754,2319.0,61.0,1052.0,0,1513.59,26.5,4.05,6071,5523,1332,259,40,182,425,1594,0.24100000000000002,0.302,0.401,0.703,2217,66,1050,3.98,6.59,1.34,1.62,140.0,46.0,0.0,0.0,167.1,69.2
38,28.2,4.92,6146.0,5453.0,1390.0,278.0,18.0,205.0,565.0,1197.0,0.255,0.32899999999999996,0.425,0.754,2319.0,61.0,1052.0,1,-1522.98,27.2,4.67,6369,5624,1453,286,34,167,576,1388,0.258,0.33299999999999996,0.41,0.7440000000000001,2308,78,1224,2.5,3.81,0.89,1.39,326.0,143.0,0.0,0.0,212.1,141.2
39,28.2,4.92,6146.0,5453.0,1390.0,278.0,18.0,205.0,565.0,1197.0,0.255,0.32899999999999996,0.425,0.754,2319.0,61.0,1052.0,1,-1522.98,27.2,4.67,6369,5624,1453,286,34,167,576,1388,0.258,0.33299999999999996,0.41,0.7440000000000001,2308,78,1224,5.59,4.46,1.81,1.5,19.0,165.0,0.0,0.0,19.1,171.2
40,28.2,4.92,6146.0,5453.0,1390.0,278.0,18.0,205.0,565.0,1197.0,0.255,0.32899999999999996,0.425,0.754,2319.0,61.0,1052.0,0,-1522.98,27.2,4.67,6369,5624,1453,286,34,167,576,1388,0.258,0.33299999999999996,0.41,0.7440000000000001,2308,78,1224,3.98,3.46,1.34,1.13,140.0,150.0,0.0,1.0,167.1,177.0
41,28.2,4.92,6146.0,5453.0,1390.0,278.0,18.0,205.0,565.0,1197.0,0.255,0.32899999999999996,0.425,0.754,2319.0,61.0,1052.0,0,1439.67,27.2,4.3,6240,5532,1404,251,25,172,559,1376,0.254,0.32799999999999996,0.401,0.7290000000000001,2221,65,1179,3.98,3.4,1.34,1.14,140.0,226.0,0.0,0.0,167.1,190.2
42,28.2,4.92,6146.0,5453.0,1390.0,278.0,18.0,205.0,565.0,1197.0,0.255,0.32899999999999996,0.425,0.754,2319.0,61.0,1052.0,0,1439.67,27.2,4.3,6240,5532,1404,251,25,172,559,1376,0.254,0.32799999999999996,0.401,0.7290000000000001,2221,65,1179,2.58,3.89,0.8,1.2,300.0,167.0,1.0,0.0,223.0,166.2
43,28.2,4.92,6146.0,5453.0,1390.0,278.0,18.0,205.0,565.0,1197.0,0.255,0.32899999999999996,0.425,0.754,2319.0,61.0,1052.0,0,1439.67,27.2,4.3,6240,5532,1404,251,25,172,559,1376,0.254,0.32799999999999996,0.401,0.7290000000000001,2221,65,1179,2.5,5.14,0.89,1.31,326.0,129.0,0.0,0.0,212.1,129.2
44,28.2,4.92,6146.0,5453.0,1390.0,278.0,18.0,205.0,565.0,1197.0,0.255,0.32899999999999996,0.425,0.754,2319.0,61.0,1052.0,0,-1794.85,29.4,5.05,6300,5595,1447,297,19,216,554,1189,0.259,0.332,0.434,0.7659999999999999,2430,80,1147,2.5,5.09,0.89,1.28,326.0,126.5,0.0,0.5,212.1,106.14999999999999
45,28.2,4.92,6146.0,5453.0,1390.0,278.0,18.0,205.0,565.0,1197.0,0.255,0.32899999999999996,0.425,0.754,2319.0,61.0,1052.0,0,-1794.85,29.4,5.05,6300,5595,1447,297,19,216,554,1189,0.259,0.332,0.434,0.7659999999999999,2430,80,1147,4.7,5.8,1.23,1.65,82.0,38.0,0.0,0.0,74.2,35.2
46,28.2,4.92,6146.0,5453.0,1390.0,278.0,18.0,205.0,565.0,1197.0,0.255,0.32899999999999996,0.425,0.754,2319.0,61.0,1052.0,1,-1794.85,29.4,5.05,6300,5595,1447,297,19,216,554,1189,0.259,0.332,0.434,0.7659999999999999,2430,80,1147,4.12,3.28,1.19,1.05,96.0,259.0,0.0,2.0,91.2,214.1
