Favorite-R/G,Favorite-PA,Favorite-AB,Favorite-H,Favorite-HR,Favorite-BB,Favorite-SO,Favorite-BA,Favorite-OBP,Favorite-SLG,Favorite-OPS,Favorite-TB,Favorite-HBP,Favorite-LOB,Result,Distance,R/G,PA,AB,H,HR,BB,SO,BA,OBP,SLG,OPS,TB,HBP,LOB,ERA_Starting,ERA_Opposing,WHIP_Starting,WHIP_Opposing,IP_Starting,IP_Opposing,K_Starting ,K_Opposing,HR_Starting,HR_Opposing
4.92,6146.0,5453.0,1390.0,205.0,565.0,1197.0,0.255,0.32899999999999996,0.425,0.754,2319.0,61.0,1052.0,1,-1522.98,4.67,6369,5624,1453,167,576,1388,0.258,0.33299999999999996,0.41,0.7440000000000001,2308,78,1224,5.59,4.46,1.81,1.5,19.1,171.2,19.0,165.0,8.0,26.0
4.92,6146.0,5453.0,1390.0,205.0,565.0,1197.0,0.255,0.32899999999999996,0.425,0.754,2319.0,61.0,1052.0,0,-1522.98,4.67,6369,5624,1453,167,576,1388,0.258,0.33299999999999996,0.41,0.7440000000000001,2308,78,1224,3.98,3.46,1.34,1.13,167.1,177.0,140.0,150.0,23.0,19.0
4.92,6146.0,5453.0,1390.0,205.0,565.0,1197.0,0.255,0.32899999999999996,0.425,0.754,2319.0,61.0,1052.0,0,1439.67,4.3,6240,5532,1404,172,559,1376,0.254,0.32799999999999996,0.401,0.7290000000000001,2221,65,1179,3.98,3.4,1.34,1.14,167.1,190.2,140.0,226.0,23.0,22.0
4.92,6146.0,5453.0,1390.0,205.0,565.0,1197.0,0.255,0.32899999999999996,0.425,0.754,2319.0,61.0,1052.0,0,1439.67,4.3,6240,5532,1404,172,559,1376,0.254,0.32799999999999996,0.401,0.7290000000000001,2221,65,1179,2.58,3.89,0.8,1.2,223.0,166.2,300.0,167.0,36.0,29.0
4.92,6146.0,5453.0,1390.0,205.0,565.0,1197.0,0.255,0.32899999999999996,0.425,0.754,2319.0,61.0,1052.0,0,1439.67,4.3,6240,5532,1404,172,559,1376,0.254,0.32799999999999996,0.401,0.7290000000000001,2221,65,1179,2.5,5.14,0.89,1.31,212.1,129.2,326.0,129.0,29.0,25.0
4.92,6146.0,5453.0,1390.0,205.0,565.0,1197.0,0.255,0.32899999999999996,0.425,0.754,2319.0,61.0,1052.0,0,-1794.85,5.05,6300,5595,1447,216,554,1189,0.259,0.332,0.434,0.7659999999999999,2430,80,1147,2.5,5.09,0.89,1.28,212.1,106.14999999999999,326.0,126.5,29.0,17.0
4.92,6146.0,5453.0,1390.0,205.0,565.0,1197.0,0.255,0.32899999999999996,0.425,0.754,2319.0,61.0,1052.0,0,-1794.85,5.05,6300,5595,1447,216,554,1189,0.259,0.332,0.434,0.7659999999999999,2430,80,1147,4.7,5.8,1.23,1.65,74.2,35.2,82.0,38.0,12.0,4.0
4.92,6146.0,5453.0,1390.0,205.0,565.0,1197.0,0.255,0.32899999999999996,0.425,0.754,2319.0,61.0,1052.0,1,-1794.85,5.05,6300,5595,1447,216,554,1189,0.259,0.332,0.434,0.7659999999999999,2430,80,1147,4.12,3.28,1.19,1.05,91.2,214.1,96.0,259.0,15.0,31.0
4.92,6146.0,5453.0,1390.0,205.0,565.0,1197.0,0.255,0.32899999999999996,0.425,0.754,2319.0,61.0,1052.0,1,-1794.85,5.05,6300,5595,1447,216,554,1189,0.259,0.332,0.434,0.7659999999999999,2430,80,1147,3.98,5.29,1.34,1.35,167.1,80.0,140.0,96.0,23.0,18.0
4.92,6146.0,5453.0,1390.0,205.0,565.0,1197.0,0.255,0.32899999999999996,0.425,0.754,2319.0,61.0,1052.0,1,1794.85,5.05,6300,5595,1447,216,554,1189,0.259,0.332,0.434,0.7659999999999999,2430,80,1147,2.58,3.28,0.8,1.05,223.0,214.1,300.0,259.0,36.0,31.0
